Coffee Name,Date,Time,Quantity (cups)
Coffee Traders Latte,2/8/2016,6:55 AM,3
Starbucks House Coffee,2/8/2016,9:35 AM,1
Water,2/8/2016,12:08 PM,3
Water,2/8/2016,1:35 PM,3
Water,2/8/2016,2:14 PM,1
Bagel Street Cafe Coffee,2/8/2016,2:34 PM,1
Water,2/8/2016,2:53 PM,1
Water,2/8/2016,4:15 PM,1
Water,2/8/2016,4:48 PM,1
Homemade Coffee,2/9/2016,7:05 AM,1
Water,2/9/2016,7:58 AM,1
Homemade Coffee,2/10/2016,7:15 AM,2
Water,2/10/2016,11:08 AM,2
Water,2/10/2016,6:24 PM,2
Water,2/10/2016,8:31 PM,2
Homemade Coffee,2/11/2016,6:58 AM,2
Water,2/11/2016,11:32 AM,2
Water,2/11/2016,3:23 PM,1
Peet's Coffee,2/11/2016,8:46 PM,1
Homemade Coffee,2/12/2016,7:02 AM,2
Water,2/12/2016,8:45 AM,2
Water,2/12/2016,2:22 PM,1
High Brew Cold Brew Coffee,2/12/2016,6:01 PM,1
Water,2/12/2016,6:35 PM,1
Water,2/12/2016,8:32 PM,2
Water,2/13/2016,12:45 AM,1
Homemade Coffee,2/13/2016,10:27 AM,1
Stumptown Nitro Cold Brew,2/13/2016,12:16 PM,1
Water,2/13/2016,7:24 PM,1
Water,2/13/2016,11:13 PM,1
Water,2/14/2016,8:23 AM,1
Starbucks House Coffee,2/14/2016,9:03 AM,1
Water,2/14/2016,12:10 PM,1
Stumptown Cold Brew,2/14/2016,2:43 PM,1
Water,2/14/2016,4:23 PM,1
Water,2/14/2016,9:15 PM,1
Starbucks Decaf Americano,2/14/2016,9:30 PM,1
Water,2/15/2016,10:03 AM,2
Water,2/15/2016,10:03 AM,1
Water,2/15/2016,11:07 AM,1
Coffee Traders Latte,2/15/2016,12:22 PM,3
Water,2/15/2016,2:52 PM,3
Water,2/15/2016,3:34 PM,3
Peet's Coffee,2/15/2016,4:03 PM,2
Water,2/15/2016,4:15 PM,2
Starbucks Decaf Americano,2/15/2016,8:50 PM,1
Homemade Coffee,2/16/2016,7:07 AM,2
Verve Coffee,2/16/2016,10:01 AM,2
Water,2/16/2016,10:58 AM,2
Water,2/16/2016,11:11 AM,2
Water,2/16/2016,12:23 PM,2
Water,2/16/2016,1:23 PM,2
Water,2/16/2016,2:57 PM,1
Starbucks House Coffee,2/16/2016,3:35 PM,1
Starbucks Decaf Americano,2/16/2016,4:30 PM,1
Water,2/16/2016,5:23 PM,1
Water,2/16/2016,7:23 PM,1
Water,2/16/2016,8:43 PM,1